fpr,tpr,threshold
0.0,0.0,inf
0.022222222222222223,0.0,0.9975392818450928
0.022222222222222223,0.11428571428571428,0.9897088408470154
0.08888888888888889,0.11428571428571428,0.9893500208854675
0.08888888888888889,0.13333333333333333,0.9874128103256226
0.13333333333333333,0.13333333333333333,0.9839016795158386
0.13333333333333333,0.19047619047619047,0.9802917242050171
0.15555555555555556,0.19047619047619047,0.979978621006012
0.15555555555555556,0.22857142857142856,0.9762772917747498
0.17777777777777778,0.22857142857142856,0.9762656092643738
0.17777777777777778,0.26666666666666666,0.9747708439826965
0.2,0.26666666666666666,0.973821759223938
0.2,0.3238095238095238,0.9680438041687012
0.2222222222222222,0.3238095238095238,0.9674915075302124
0.2222222222222222,0.38095238095238093,0.9558929800987244
0.24444444444444444,0.38095238095238093,0.9541494250297546
0.24444444444444444,0.47619047619047616,0.9401193857192993
0.26666666666666666,0.47619047619047616,0.9391374588012695
0.26666666666666666,0.4857142857142857,0.9388130307197571
0.28888888888888886,0.4857142857142857,0.937032163143158
0.28888888888888886,0.5047619047619047,0.9330865144729614
0.3111111111111111,0.5047619047619047,0.9323124289512634
0.3111111111111111,0.6,0.906536340713501
0.3333333333333333,0.6,0.9058243036270142
0.3333333333333333,0.6285714285714286,0.9008948802947998
0.4,0.6285714285714286,0.8927515745162964
0.4,0.6571428571428571,0.8896429538726807
0.4444444444444444,0.6571428571428571,0.8847299814224243
0.4444444444444444,0.6761904761904762,0.8765891790390015
0.4888888888888889,0.6761904761904762,0.8699190616607666
0.4888888888888889,0.6952380952380952,0.8492682576179504
0.5111111111111111,0.6952380952380952,0.8483413457870483
0.5111111111111111,0.7047619047619048,0.8438768982887268
0.5333333333333333,0.7047619047619048,0.8412068486213684
0.5333333333333333,0.7238095238095238,0.8209219574928284
0.5555555555555556,0.7238095238095238,0.8190581798553467
0.5555555555555556,0.8095238095238095,0.7839854955673218
0.5777777777777777,0.8095238095238095,0.7783986330032349
0.5777777777777777,0.819047619047619,0.7704009413719177
0.6222222222222222,0.819047619047619,0.7391255497932434
0.6222222222222222,0.8285714285714286,0.7381436824798584
0.6444444444444445,0.8285714285714286,0.7236009240150452
0.6444444444444445,0.8761904761904762,0.6749465465545654
0.6666666666666666,0.8761904761904762,0.6724234223365784
0.6666666666666666,0.9047619047619048,0.6540094614028931
0.7111111111111111,0.9047619047619048,0.6255244612693787
0.7111111111111111,0.9238095238095239,0.6053882241249084
0.7333333333333333,0.9238095238095239,0.6040956974029541
0.7333333333333333,0.9428571428571428,0.5798813104629517
0.7555555555555555,0.9428571428571428,0.5781404972076416
0.7555555555555555,0.9619047619047619,0.547446072101593
0.7777777777777778,0.9619047619047619,0.5472468733787537
0.7777777777777778,0.9714285714285714,0.5455474257469177
0.8444444444444444,0.9714285714285714,0.4752803444862366
0.8444444444444444,0.9809523809523809,0.4365956485271454
0.8666666666666667,0.9809523809523809,0.36901596188545227
0.8666666666666667,0.9904761904761905,0.3334660530090332
0.9111111111111111,0.9904761904761905,0.25456568598747253
0.9111111111111111,1.0,0.23942430317401886
1.0,1.0,0.07714524120092392
